surface,n_bhk,sa1,pool,sa9,sa7,sa2,sa5,price
-0.5384324954449057,2.0,0,1,0,0,0,0,5.526
-0.15778912348293403,3.0,0,1,0,0,0,0,6.6000000000000005
-0.10756534523795167,3.0,0,1,0,0,0,0,6.7
-0.7102506841777402,2.0,0,0,0,0,0,0,4.57
-0.47499193345124374,2.0,0,0,0,0,0,0,4.55
-0.5344674603203018,2.0,0,0,0,0,0,0,5.9
0.19377732423194258,3.0,0,0,0,0,0,0,8.700000000000001
0.2677913132245482,3.0,0,0,0,0,0,0,8.9
0.37881229671345656,3.0,0,0,0,0,0,0,9.2
-1.0723905588915603,1.0,0,1,0,0,0,0,4.38
-0.7842646731703458,2.0,0,1,0,0,0,0,5.53
-0.7366842516750993,2.0,0,1,0,0,0,0,5.65
-0.5357891386951698,2.0,0,1,0,0,0,0,6.23
-0.07320170749138477,3.0,0,1,0,0,0,0,7.93
0.03517591924778772,3.0,0,1,0,0,0,0,8.25
1.9278193520587024,3.0,0,1,0,0,0,0,15.9
3.03538583019805,4.0,0,1,0,0,0,0,21.5
-0.4432716524544128,2.0,0,1,0,0,0,1,4.574000000000001
0.07482627049382644,3.0,0,1,0,0,0,1,5.8950000000000005
-0.4313765470806012,2.0,0,1,0,0,0,0,5.9
0.47265146132908153,3.0,0,1,0,0,0,0,10.9
-1.2865024556201694,2.0,0,0,0,1,0,0,3.999000000000001
-0.9217192241566133,2.0,0,0,0,1,0,0,5.399000000000001
-0.7023206139285324,2.0,0,0,0,1,0,0,5.9990000000000006
-1.365803158112247,1.0,0,0,0,0,0,0,3.3000000000000003
-1.059173775142881,1.0,0,0,0,0,0,0,4.7
-0.3031737447184093,2.0,0,0,0,0,0,0,7.0
-0.11813877223689531,2.0,0,0,0,0,0,0,7.300000000000001
0.014029065249900404,2.0,0,0,0,0,0,0,7.800000000000001
0.09332976774197783,2.0,0,0,0,0,0,0,8.3
0.9986794545265285,3.0,1,1,0,0,0,0,17.5
2.2344487350280686,8.0,1,1,0,0,0,0,25.0
4.10330195709136,9.0,1,1,0,0,0,0,42.0
-1.2944325258693772,1.0,0,0,0,0,1,0,3.949
-1.2865024556201694,1.0,0,0,0,0,1,0,3.949
-1.3287961636159442,1.0,0,0,0,0,1,0,3.949
-0.6018730574385677,2.0,0,0,0,0,1,0,6.499
-0.6706003329317014,2.0,0,0,0,0,1,0,6.499
-0.6071597709380395,2.0,0,0,0,0,1,0,6.499
-1.6248521195863666,1.0,0,1,0,0,0,0,1.319
-1.3472996608640955,2.0,0,0,0,0,0,0,1.729
-0.435341582205205,2.0,1,1,0,0,0,0,8.700000000000001
0.6352179014378403,3.0,1,1,0,0,0,0,12.9
1.2035396026310619,3.0,1,1,0,0,0,0,16.0
1.8643787900650404,4.0,1,1,0,0,0,0,23.0
-0.2793835339707861,2.0,1,1,0,0,0,0,9.5
0.5612039124452347,3.0,1,1,0,0,0,0,13.5
-0.313747171717353,2.0,1,1,0,0,0,0,9.068
