index,sub_area,n_bhk,surface,price,company_name,township,club_house,school,hospital,mall,park,pool,gym
59,hadapsar,2.0,753.0,7.3500000000000005,proviso group,lesiure town,no,no,no,no,yes,yes,yes
60,hadapsar,2.0,675.0,6.2,ravima ventures,newton homes,no,no,no,no,yes,no,no
61,hadapsar,3.0,917.0,8.4,ravima ventures,newton homes,no,no,no,no,yes,no,no
62,kiwale,2.0,670.0,5.414000000000001,unique properties,k ville,yes,no,no,no,yes,yes,no
63,kiwale,2.0,740.0,5.832000000000001,unique properties,k ville,yes,no,no,no,yes,yes,no
66,kiwale,3.0,990.0,7.902,unique properties,k ville,yes,no,no,no,yes,yes,no
67,kiwale,3.0,1032.0,8.209999999999999,unique properties,k ville,yes,no,no,no,yes,yes,no
68,kayani nagar,3.0,1698.0,24.900000000000002,sagitarius ecospaces llp,bluegrass residences,yes,no,no,no,yes,yes,yes
69,kayani nagar,4.0,2267.0,46.0,sagitarius ecospaces llp,bluegrass residences,yes,no,no,no,yes,yes,yes
70,pisoli,2.0,670.0,4.575,nirman developers,brookefield willows,yes,no,no,no,yes,yes,yes
71,pisoli,2.0,725.0,4.934000000000001,nirman developers,brookefield willows,yes,no,no,no,yes,yes,yes
72,pisoli,2.0,731.0,4.974,nirman developers,brookefield willows,yes,no,no,no,yes,yes,yes
73,pisoli,2.0,744.0,5.056000000000001,nirman developers,brookefield willows,yes,no,no,no,yes,yes,yes
76,manjri,1.0,446.0,3.6,jhala group,tranquility annexe,yes,no,no,no,yes,yes,yes
77,manjri,2.0,670.0,5.5,jhala group,tranquility annexe,yes,no,no,no,yes,yes,yes
79,mahalunge,2.0,1180.0,6.800000000000001,jhala group,mahalunge riviera,yes,no,no,no,yes,yes,yes
80,mahalunge,2.0,860.0,6.5,jhala group,mahalunge riviera,yes,no,no,no,yes,yes,yes
81,mahalunge,3.0,988.0,9.200000000000001,jhala group,mahalunge riviera,yes,no,no,no,yes,yes,yes
82,mahalunge,3.0,1093.0,9.200000000000001,jhala group,mahalunge riviera,yes,no,no,no,yes,yes,yes
83,handewadi,1.0,456.0,3.35,jhala group,simplicity,yes,no,no,no,yes,no,yes
84,handewadi,2.0,644.0,4.7299999999999995,jhala group,simplicity,yes,no,no,no,yes,no,yes
86,koregoan,3.0,1060.0,13.600000000000001,shroff developers,aureta,no,no,no,no,yes,yes,yes
88,mundhwa,2.0,664.0,4.759,unique properties,unique legacy royale,no,no,no,no,yes,no,yes
89,mundhwa,2.0,670.0,4.7700000000000005,unique properties,unique legacy royale,no,no,no,no,yes,no,yes
90,mundhwa,2.0,673.0,4.78,unique properties,unique legacy royale,no,no,no,no,yes,no,yes
91,mundhwa,2.0,682.0,4.7909999999999995,unique properties,unique legacy royale,no,no,no,no,yes,no,yes
92,mundhwa,2.0,698.0,4.8020000000000005,unique properties,unique legacy royale,no,no,no,no,yes,no,yes
93,nibm,3.0,1239.0,16.1,kundan spaces,presidia,yes,no,no,no,yes,yes,yes
94,nibm,3.0,1315.0,17.0,kundan spaces,presidia,yes,no,no,no,yes,yes,yes
95,nibm,3.0,1388.0,17.8,kundan spaces,presidia,yes,no,no,no,yes,yes,yes
96,nibm,3.0,1463.0,18.7,kundan spaces,presidia,yes,no,no,no,yes,yes,yes
97,nibm,8.0,1671.0,21.1,kundan spaces,presidia,yes,no,no,no,yes,yes,yes
98,nibm,8.0,1687.0,21.3,kundan spaces,presidia,yes,no,no,no,yes,yes,yes
99,bt kawade rd,1.0,575.0,6.5,kundan spaces,eternia 2.0,yes,no,no,no,yes,yes,yes
100,bt kawade rd,2.0,751.0,8.4,kundan spaces,eternia 2.0,yes,no,no,no,yes,yes,yes
101,bt kawade rd,2.0,761.0,8.5,kundan spaces,eternia 2.0,yes,no,no,no,yes,yes,yes
102,bt kawade rd,2.0,871.0,9.600000000000001,kundan spaces,eternia 2.0,yes,no,no,no,yes,yes,yes
103,bt kawade rd,3.0,1166.0,12.9,kundan spaces,eternia 2.0,yes,no,no,no,yes,yes,yes
104,bt kawade rd,3.0,1206.0,13.3,kundan spaces,eternia 2.0,yes,no,no,no,yes,yes,yes
105,bt kawade rd,3.0,1272.0,13.9,kundan spaces,eternia 2.0,yes,no,no,no,yes,yes,yes
106,bt kawade rd,3.0,1279.0,14.0,kundan spaces,eternia 2.0,yes,no,no,no,yes,yes,yes
107,undri,2.0,646.0,4.32,venkatesh bhoomi construction,bliss solitaire,no,no,no,no,yes,no,no
108,undri,2.0,717.0,4.74,venkatesh bhoomi construction,bliss solitaire,no,no,no,no,yes,no,no
109,handewadi,1.0,436.0,3.058,lush life,impero,no,no,no,no,yes,no,no
110,handewadi,2.0,637.0,4.349,lush life,impero,no,no,no,no,yes,no,no
111,handewadi,2.0,642.0,4.383,lush life,impero,no,no,no,no,yes,no,no
112,handewadi,2.0,655.0,4.444,lush life,impero,no,no,no,no,yes,no,no
113,handewadi,2.0,668.0,4.5520000000000005,lush life,impero,no,no,no,no,yes,no,no
114,handewadi,3.0,810.0,5.4,lush life,impero,no,no,no,no,yes,no,no
115,karvanagar,2.0,735.0,11.100000000000001,maha anand pinnac associates,river dale residency,no,no,no,no,yes,no,yes
116,karvanagar,2.0,783.0,11.8,maha anand pinnac associates,river dale residency,no,no,no,no,yes,no,yes
117,karvanagar,2.0,805.0,12.100000000000001,maha anand pinnac associates,river dale residency,no,no,no,no,yes,no,yes
118,karvanagar,3.0,1074.0,16.2,maha anand pinnac associates,river dale residency,no,no,no,no,yes,no,yes
119,karvanagar,3.0,1111.0,16.7,maha anand pinnac associates,river dale residency,no,no,no,no,yes,no,yes
120,nibm,1.0,535.0,3.6,vasupujya corporation,neco beaumont,yes,no,no,no,yes,no,yes
121,nibm,2.0,725.0,5.2,vasupujya corporation,neco beaumont,yes,no,no,no,yes,no,yes
122,magarpatta,2.0,810.0,7.9,ace constructions,anutham,yes,no,no,no,yes,no,no
123,magarpatta,3.0,947.0,9.700000000000001,ace constructions,anutham,yes,no,no,no,yes,no,no
